"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "HTML", "XML", "PostCSS", "Markdown", "JavaScript", "YAML", "Log", "JSON with Comments", "Ini", "PowerShell", "MS SQL", "Dotenv", "comment", "blank", "total"
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\bug-report\BugReportModal.tsx", "TypeScript JSX", 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42, 405
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\calculator.tsx", "TypeScript JSX", 0, 1285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 86, 1413
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\contact-form.tsx", "TypeScript JSX", 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25, 307
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\convert-quote-to-order-dialog.tsx", "TypeScript JSX", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 125
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\credit-form.tsx", "TypeScript JSX", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20, 254
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\customer-form.tsx", "TypeScript JSX", 0, 894, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 64, 988
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\customers\CustomerActivityTabs.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 83
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\customers\CustomerStatCard.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\customers\CustomerStatsRow.tsx", "TypeScript JSX", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 232
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\customers\SplitCustomerDetail.tsx", "TypeScript JSX", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 210
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\customers\tables\CustomerInvoicesTable.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 101
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\customers\tables\CustomerOrdersTable.tsx", "TypeScript JSX", 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 196
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\customers\tables\CustomerQuotesTable.tsx", "TypeScript JSX", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 153
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\dashboard\ActivityFeedPanel.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 82
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\dashboard\CriticalAlertsRow.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\dashboard\DashboardDetailPanel.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\dashboard\DashboardDetailsView.tsx", "TypeScript JSX", 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 316
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\dashboard\FulfillmentFinanceCard.tsx", "TypeScript JSX", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 111
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\dashboard\MyWorkPanel.tsx", "TypeScript JSX", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 93
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\dashboard\OrdersPipelineCard.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\dashboard\ProductionJobsCard.tsx", "TypeScript JSX", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 100
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\dashboard\QuickActionsPanel.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\dashboard\dashboardPanels.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 102
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\debug\RenderPathBanner.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\fulfillment\FulfillmentDebugPanel.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\global-search.tsx", "TypeScript JSX", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 161
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\integrations\QBTransientDisconnectBanner.tsx", "TypeScript JSX", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 130
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\job-status-settings.tsx", "TypeScript JSX", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 176
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\layout\AppLayout.tsx", "TypeScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 135
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\layout\GlobalSearchOverlay.tsx", "TypeScript JSX", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 195
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\layout\PublicPageLayout.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 79
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\layout\ResizablePanels.tsx", "TypeScript JSX", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 116
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\layout\SidebarNav.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\layout\TitanSidebarNav.tsx", "TypeScript JSX", 0, 497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 44, 585
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\layout\TitanTopBar.tsx", "TypeScript JSX", 0, 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 38, 382
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\layout\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 14
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\LineItemActionButtons.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\LineItemAlertChip.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\LineItemCard.tsx", "TypeScript JSX", 0, 608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 42, 688
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\LineItemMainBlock.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 116
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\LineItemMoneyField.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\LineItemOverrideToggle.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\LineItemQtyPill.tsx", "TypeScript JSX", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 134
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\LineItemRowEnterprise.tsx", "TypeScript JSX", 0, 879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 951
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\LineItemStatusPill.tsx", "TypeScript JSX", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 180
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\PBV2LineItemOptions.tsx", "TypeScript JSX", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 144
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\lineItemRowEnterprise.module.css", "PostCSS", 0, 0, 0, 0, 0, 736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 117, 855
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\line-items\lineItemTheme.css", "PostCSS", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 32
